accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
RANGE_INTERPOLATED,"44 Roopena St, Ingle Farm SA 5098, Australia",Eiw0NCBSb29wZW5hIFN0LCBJbmdsZSBGYXJtIFNBIDUwOTgsIEF1c3RyYWxpYSIaEhgKFAoSCUuqIQTOtbBqEZX_Znj-tKhYECw,44A Roopena St,-34.8329573,138.6490209,1,5098,OK,street_address
ROOFTOP,"52 Milne Rd, Para Hills SA 5096, Australia",ChIJlefi-ji0sGoR7meDQlvVNUw,52 Milne Rd,-34.8190834,138.6568841,1,5096,OK,premise
ROOFTOP,"45 Fairfax Rd, Bellevue Hill NSW 2023, Australia",ChIJja8Ak8OtEmsRxinzyzUhlpQ,45 Fairfax Rd,-33.874692,151.2493626,1,2023,OK,premise
ROOFTOP,"37 Dulkara Rd, Ingle Farm SA 5098, Australia",ChIJy8UPKXe2sGoRkr9cw0S2rG8,37 Dulkara Rd,-34.8330101,138.6342869,1,5098,OK,premise
ROOFTOP,"34 Bridge Rd, Pooraka SA 5095, Australia",ChIJSy2e6Gy2sGoRRmuWnMcBRhI,34 Bridge Rd,-34.83515879999999,138.6257176,1,5095,OK,street_address
ROOFTOP,"40 Beovich Rd, Ingle Farm SA 5098, Australia",ChIJ09IylXi2sGoRGuMZX74UtgI,40A Beovich Rd,-34.8289196,138.6376544,1,5098,OK,premise
GEOMETRIC_CENTER,"Stop 35 Bridge Rd - East side, Pooraka SA 5095, Australia",ChIJec2hCG62sGoRiS8hC8FIKDA,35 Bridge Rd,-34.8327445,138.6282274,2,5095,OK,"bus_station,establishment,point_of_interest,transit_station"
ROOFTOP,"44 Golden Grove Rd, Modbury North SA 5092, Australia",ChIJy1O8s5a0sGoRBWrmw83uH6Y,44 Golden Grove Rd,-34.822712,138.6942625,1,5092,OK,street_address
GEOMETRIC_CENTER,"Stop 47A Nelson Rd - East side, Para Vista SA 5093, Australia",ChIJAXb69ki0sGoRirtQJBN6WtU,47A Nelson Rd,-34.8253587,138.6616302,1,5093,OK,"bus_station,establishment,point_of_interest,transit_station"
ROOFTOP,"53 Milne Rd, Ingle Farm SA 5098, Australia",ChIJVaMH9zi0sGoRM-ef1B7hln0,53 Milne Rd,-34.8195352,138.6571975,1,5098,OK,premise
ROOFTOP,"58 Milne Rd, Para Hills SA 5096, Australia",ChIJIwD07Di0sGoR223KT3MyOLs,58 Milne Rd,-34.8190714,138.65755,1,5096,OK,premise
ROOFTOP,"47 Baldock Rd, Ingle Farm SA 5098, Australia",ChIJlSue5Em0sGoRKVrui0firDs,47 Baldock Rd,-34.8267679,138.6592362,1,5098,OK,street_address
ROOFTOP,"40 Winara Dr, Ingle Farm SA 5098, Australia",ChIJ3ai4j3i2sGoRdWCb36oiFjw,40 Winara Dr,-34.8296671,138.6381634,1,5098,OK,premise
ROOFTOP,"42 Beovich Rd, Ingle Farm SA 5098, Australia",ChIJN2Unvni2sGoRSUrW2xErlRk,42 Beovich Rd,-34.828893,138.6378502,1,5098,OK,premise
ROOFTOP,"56 Milne Rd, Para Hills SA 5096, Australia",ChIJZ3t67ji0sGoR9ZkoproyLHk,56 Milne Rd,-34.8190623,138.6573542,1,5096,OK,premise
RANGE_INTERPOLATED,"44 Roopena St, Ingle Farm SA 5098, Australia",Eiw0NCBSb29wZW5hIFN0LCBJbmdsZSBGYXJtIFNBIDUwOTgsIEF1c3RyYWxpYSIaEhgKFAoSCUuqIQTOtbBqEZX_Znj-tKhYECw,44 Roopena St,-34.8329573,138.6490209,1,5098,OK,street_address
ROOFTOP,"39 Winara Dr, Ingle Farm SA 5098, Australia",ChIJtyEdXni2sGoRuYdKg_WrLhg,39 Winara Dr,-34.8302289,138.6376152,1,5098,OK,premise
ROOFTOP,"57 Milne Rd, Ingle Farm SA 5098, Australia",ChIJOX8ejTi0sGoRkaBdMn4eQ4M,57 Milne Rd,-34.8195267,138.6577851,1,5098,OK,premise
ROOFTOP,"45 Golden Grove Rd, Modbury North SA 5092, Australia",ChIJs8WAIJe0sGoRmB-BoCPkLis,45 Golden Grove Rd,-34.8215583,138.6951413,1,5092,OK,street_address
GEOMETRIC_CENTER,"Stop 46 Fairfax Rd - West side, Ingle Farm SA 5098, Australia",ChIJL7Q7hjO0sGoR07f7opLGEto,46 Fairfax Rd,-34.82691,138.65372,1,5098,OK,"bus_station,establishment,point_of_interest,transit_station"
ROOFTOP,"46 Baldock Rd, Ingle Farm SA 5098, Australia",ChIJzZg23Um0sGoRP4z-M_c_xEg,46A Baldock Rd,-34.8263093,138.6595478,1,5098,OK,premise
RANGE_INTERPOLATED,"43 Golden Grove Rd, Modbury North SA 5092, Australia",EjQ0MyBHb2xkZW4gR3JvdmUgUmQsIE1vZGJ1cnkgTm9ydGggU0EgNTA5MiwgQXVzdHJhbGlhIhoSGAoUChIJCzjR2pa0sGoRkbwYSVQ2AxMQKw,43A Golden Grove Rd,-34.8218298,138.6948987,1,5092,OK,street_address
RANGE_INTERPOLATED,"46 Golden Grove Rd, Modbury North SA 5092, Australia",EjQ0NiBHb2xkZW4gR3JvdmUgUmQsIE1vZGJ1cnkgTm9ydGggU0EgNTA5MiwgQXVzdHJhbGlhIhoSGAoUChIJCzjR2pa0sGoRkbwYSVQ2AxMQLg,46 Golden Grove Rd,-34.8215265,138.6950006,1,5092,OK,street_address
ROOFTOP,"50 Milne Rd, Para Hills SA 5096, Australia",ChIJs_9z_Di0sGoRcq4nNaUgWSA,50 Milne Rd,-34.8191263,138.6567274,1,5096,OK,premise
ROOFTOP,"26 Folland Ave, Northfield SA 5085, Australia",ChIJz8-Zy-bJsGoRa2_ReQiThEg,26 Folland Av,-34.8582132,138.622385,1,5085,OK,premise
ROOFTOP,"18 Galway Ave, Collinswood SA 5081, Australia",ChIJV_XMuaDJsGoRHz1rbE4r8Ok,18 Galway Av,-34.8858833,138.6145109,1,5081,OK,street_address
ROOFTOP,"17 Galway Ave, Collinswood SA 5081, Australia",ChIJXWO04KDJsGoRVsHqWYmpa-4,17 Galway Av,-34.8851246,138.6151462,1,5081,OK,street_address
ROOFTOP,"11 Smith St, Walkerville SA 5081, Australia",ChIJw6kzqw7JsGoRK5yysUt4M3c,11 Smith St,-34.8911003,138.613625,1,5081,OK,street_address
ROOFTOP,"19 Regency Rd, Broadview SA 5083, Australia",ChIJ-QZp2b_JsGoRWfgqyBTA06I,19 Regency Rd,-34.8717413,138.6185799,1,5083,OK,street_address
ROOFTOP,"22 Rellum Rd, Greenacres SA 5086, Australia",ChIJR85FMffJsGoRWsddNhOxxOE,22 Rellum Rd,-34.8690116,138.634245,1,5086,OK,street_address
ROOFTOP,"14 Galway Ave, Collinswood SA 5081, Australia",ChIJ-W-YpaDJsGoRYMJmWsKi0d8,14 Galway Av,-34.8861403,138.6147072,1,5081,OK,street_address
ROOFTOP,"8 Walkerville Terrace, Gilberton SA 5081, Australia",ChIJ00XBoBfJsGoRL5j-RpJXyUs,8 Walkerville Tce,-34.9012657,138.6103255,1,5081,OK,street_address
ROOFTOP,"10 Smith St, Mount Gambier SA 5290, Australia",ChIJR2RMUBcmnqoRMkwLA4kak0c,10 Smith St,-37.8310775,140.7975931,1,5290,OK,street_address
RANGE_INTERPOLATED,"21 Karoomba Ave, Greenacres SA 5086, Australia",Ei4yMSBLYXJvb21iYSBBdmUsIEdyZWVuYWNyZXMgU0EgNTA4NiwgQXVzdHJhbGlhIhoSGAoUChIJoXHAou3JsGoREVcdSVQ2AxMQFQ,21 Karoomba Av,-34.87089479999999,138.6275074,1,5086,OK,street_address
ROOFTOP,"20 Muller Rd, Greenacres SA 5086, Australia",ChIJsbZ-1JTJsGoRNggvShYftsw,20B Muller Rd,-34.8716543,138.6216412,1,5086,OK,premise
RANGE_INTERPOLATED,"24 Fosters Rd, Hillcrest SA 5086, Australia",EisyNCBGb3N0ZXJzIFJkLCBIaWxsY3Jlc3QgU0EgNTA4NiwgQXVzdHJhbGlhIhoSGAoUChIJsaNAL_jJsGoR4WYGSVQ2AxMQGA,24 Fosters Rd,-34.8683438,138.6371361,1,5086,OK,street_address
APPROXIMATE,"South Australia, Australia",ChIJ88foW55Yp2oR2ND6PZl5fts,25C The Strand,-30.0002315,136.2091547,1,,OK,"administrative_area_level_1,political"
RANGE_INTERPOLATED,"10 Smith St, Walkerville SA 5081, Australia",EisxMCBTbWl0aCBTdCwgV2Fsa2VydmlsbGUgU0EgNTA4MSwgQXVzdHJhbGlhIhoSGAoUChIJXWl_rw7JsGoRgUFmjIbseUoQCg,10A Smith St,-34.89190019999999,138.6133168,1,5081,OK,street_address
